"# of Use","# использования"
"%1$s incl tax.","%1$s вкл. налоги"
"%s - %s","%s - %s"
"%s Item(s)","%s шт."
"(Copy data from: %s)","(копировать данные из: %s)"
"(Will make search for the query above return results for this search.)","(будет ли поиск по запросу выше возвращать результаты по этому поисковому запросу.)"
"* Required Fields","* Обязательные поля"
"-- Please Select --","-- Выбирайте --"
"A name is required","Требуется имя"
"ALL GROUPS","Все группы"
"Action","Действие"
"Add Attribute","Добавить атрибут"
"Add Design Change","Добавить изменения дизайна"
"Add Group","Добавить группу"
"Add Items to Cart","Добавить товары в корзину"
"Add New","Добавить новый"
"Add New Attribute","Добавить новый атрибут"
"Add New Attribute Set","Добавьте новый набор атрибутов"
"Add New Group","Добавить новую группу"
"Add New Images","Добавить новые изображения"
"Add New Option","Добавить новый вариант"
"Add New Row","Добавить новую строку"
"Add New Search Term","Добавить новое поисковое выражение"
"Add New Set","Добавить новый набор"
"Add Option","Добавить вариант"
"Add Product","Добавить товар"
"Add Product To Websites","Добавить товар на сайты"
"Add Root Category","Добавить категорию"
"Add Subcategory","Добавить подкатегорию"
"Add Tax","Добавить налог"
"Add Tier","Добавить уровень"
"Add to Cart","Добавить в корзину"
"Add to Compare","Добавить для сравнения"
"Add to My Wishlist","Добавить в список отмеченных"
"Add to Wishlist","Добавить в хотелку"
"Additional Information","Дополнительная информация"
"All","Все"
"All Product Types","Все типы товаров"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Все товары этого набора будут удалены! Вы уверены, что хотите удалить этот набор аттрибутов?"
"Apply To","Применить к"
"Apply To Configurable/Grouped Product","Применить к настраиваемым/группированым товарам"
"Approved","Одобрено"
"Are you sure you want to delete this category?","Вы уверены, что хотите удалить этот раздел?"
"Are you sure you would like to remove all item from compare products?","Вы уверены, что хотите очистить список товаров для сравнения?"
"Are you sure you would like to remove this item from the compare products?","Вы уверены, что хотите удалить этот товар из списка для сравнения?"
"Are you sure?","Вы уверены?"
"As low as:","Так мало как:"
"Assign","Устанавлено"
"Assign product link","Назначить ссылку товара"
"Assign product to category","Указать категорию для товара"
"Assigned Products","Назначенные товары"
"Associated Products","Ассоциированные товары"
"Attrib. Set Name","Имя набора"
"Attribute Code","Код атрибута"
"Attribute Information","Атрибут информации"
"Attribute Label","Ярлык атрибута"
"Attribute Model","Модель атрибута"
"Attribute Name:","Название атрибута:"
"Attribute Properties","Свойства атрибута"
"Attribute Set","Набор аттрибутов"
"Attribute group with the \"/name/\" name already exists","Группа аттрибутов ""/name/"" уже существует"
"Attribute model not defined","Модель атрибута не определена"
"Attribute with the same code already exists","Атрибут с тем же кодом уже существует"
"Attributes","Атрибуты"
"Attrribute names can be specified per store.","Названия аттрибутов могут быть указаны для магазина."
"Autogenerate","Автогенерация"
"Availability","Доступность"
"Availability: In stock.","Доступность: на складе."
"Availability: Out of stock.","Доступность: товара нет."
"Back","Назад"
"Backend Model","Backend модель"
"Backend Table","Backend таблица"
"Backend Table Title","Название Backend таблицы"
"Backorders","Задолженные заказы"
"Base directory to upload image file is not specified","Базовый каталог для загрузки файла изображения не указан"
"Based On","Основано на"
"Best Value","Лучшая оценка"
"Block after Info Column","Блок после информационной колонки"
"Bottom/Left","Низ/лево"
"Bottom/Right","Низ/право"
"Browse By","Просмотр"
"Buy %1$s for %2$s","Купить %1$s по %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Купить %1$s по %2$s (%3$s вкл. налоги) каждый"
"Buy %1$s for %2$s each","Купить %1$s по %2$s каждый"
"Can be used only with catalog input type Dropdown","Может быть использовано только с типом 'выпадающий список'"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Может быть использовано только с типом 'выпадающий список', 'множественный выбор' и 'цена'"
"Can\'t create image.","Иллюстрация не создана."
"Cart Item Attribute","Атрибут единицы корзины"
"Catalog","Каталог"
"Catalog Input Type for Store Owner","Тип ввода каталога для владельца магазина"
"Catalog Price Scope","Диапазон цен каталога"
"Catalog Section","Раздел каталога"
"Catalog, Search","Каталог, поиск"
"Categories","Разделы"
"Categories Sitemap","Карта разделов"
"Category","Раздел"
"Category API","API разделов"
"Category Data","Данные раздела"
"Category Navigation:","Навигация по разделу:"
"Category Products","Товары раздела"
"Category Top Navigation","Верхняя навигация разделов"
"Category URL Suffix","URL суффикс разделов"
"Category attributes API","API аттрибутов разделов"
"Category delete error","Ошибка удаления раздела"
"Category deleted","Раздел удален"
"Category move error","Ошибка перемещения раздела"
"Category must be instance of Mage_Catalog_Model_Category","Раздел должен быть экземпляром класса Mage_Catalog_Model_Category"
"Category saved","Раздел сохранен"
"Change","Изменения"
"Change or Retrieve attribute store view","Изменить/получить вид аттрибута"
"Change status","Изменить статус"
"Check items to add to the cart or","Проверить товары для добавления в корзину или"
"Choose an Option...","Выберите один вариант ..."
"Choose option...","Выберите опцию ..."
"Clear All","Очистить все"
"Clear All Items","Очистить список"
"Close Window","Закрыть окно"
"Collapse All","Свернуть все"
"Comparable","Сравниваемый"
"Comparable on Front-end","Сравнимый на сайте"
"Compare Items","Сравнение товаров"
"Compare Products","Сравнение товаров"
"Compare Products - %d Items","Сравнение товаров -%d шт."
"Compare Products List","Сравнить список товаров"
"Compare list successfully cleared","Список для сравнения очищен"
"Conditions Combination","Наборы условий"
"Configurable Product","Настраиваемый товар"
"Configurable Product Settings","Настройки конфигурируемых товаров"
"Continue","Продолжить"
"Copy From Configurable","Копировать из настраиваемых"
"Country/State","Страна/область"
"Create","Создать"
"Create (Upload)","Создать (Загрузить)"
"Create Empty","Создать пустым"
"Create Product Settings","Создание настроек товара"
"Create Simple Associated Product","Создать простой ассоциированный товар"
"Create new category","Создать новый раздел"
"Create new product","Создать новый товар"
"Cross-sells","Кросс-продажи"
"Currently Shopping by","Просмотр товаров по"
"Custom Design","Настраиваемый дизайна"
"Custom Options","Настраиваемые варианты"
"Customer Group","Группа покупателей"
"Customers Reviews","Отзывы пользователей"
"Customers Tagged Product","Товар, отмеченный пользователями"
"Customers for alert %s was successfuly added to queue","Пользователи были успешно добавлены в очередь для оповещения %s"
"Data Type for Saving in Database","Тип данных для сохранение в базе данных"
"Date","Дата"
"Date Subscribed","Дата подписки"
"Datetime","Дата и время"
"Decimal","Десятичный"
"Decimal Number","Десятичное число"
"Declare attribute value saving scope","Объявить диапазо для сохранения аттрибута"
"Default Qty","Количество по умолчанию"
"Default Values","Значения по умолчанию"
"Default price","Цена по умолчанию"
"Default value","Значение по умолчанию"
"Delete","Удалить"
"Delete Attribute","Удалить атрибут"
"Delete Attribute Set","Удалить набор атрибутов"
"Delete Category","Удалить раздел"
"Delete Option","Исключить вариант"
"Delete Row","Удалить строку"
"Delete Search","Исключить поиск"
"Delete Selected Group","Удалить выбранные группы"
"Delete category","Удалить раздел"
"Delete product","Удалить товар"
"Design","Дизайн"
"Disabled","Отключено"
"Display in Suggested Terms","Отображать в предлагаемых условиях"
"Double click on a group to rename it","Дважды щёлкните на группе для ее переименовывания"
"Double click on above image to view full picture","Дважды щёлкните на картинке для просмотра полноразмерной фотографии"
"Downloadable Product","Скачиваемый товар"
"Dropdown","Выпадающий список"
"Duplicate","Создать копию"
"Duplicate website tier price customer group and quantity.","Дублировать уровень цен веб-сайта, группу пользователей и количество"
"Duplicate website, country and state tax found.","Обнаружен сайт-дубликат для этой страны и ставки налогов."
"Edit","Правка"
"Edit Attribute Set '%s'","Изменить набор атрибутов '%s'"
"Edit Product Attribute","Изменение атрибутов товара"
"Edit Product Attribute ""%s""","Правка товарного атрибута ""%s"""
"Edit Search","Редактировать поиск"
"Edit Search '%s'","Редактировать поиск '%s'"
"Email","E-mail"
"Email to a Friend","Отправить другу"
"Empty","Пусто"
"Enabled","Включено"
"Error during retrieval of option value: %s","Ошибка во время получение варианта значения: %s"
"Error while adding customers for %s alert. Message: %s","Ошибка при добавлении пользователей для %s. Сообщение: %s"
"Error while saving this group. Group with the same name already exists.","Ошибка при сохранении этой группы. Группа с таким же именем уже существует."
"Error while saving this group. Please try again later.","Ошибка при сохранении этой группы. Пожалуйста, попробуйте еще раз позже."
"Exclude","Исключить"
"Expand All","Развернуть все"
"Failed","Ошибка"
"Failed to move file: %s","Ошибка при перемещении файла: %s"
"Feature Products","Популярные товары"
"File Extension","Расширение файла"
"Filter model name must be declared","Должно быть объявлено название модели фильтра"
"Filter must be as object. Set correct filter please","Фильтр должен быть объектом. Пожалуйста, установите верный фильтр"
"Filterable (no results)","Отфильтровано (нет результатов)"
"Filterable (with results)","Отфильтровано (результаты)"
"Filters must be as array","Фильтры должны быть в виде массива"
"First Name","Имя"
"Fixed","Исправлено"
"For internal use. Must be unique with no spaces","Для внутреннего использования. Должно быть уникальным, без пробелов"
"For reindex enabled product(s) you need specify store or product","Для переиндексации товаров необходимо указать магазин или товар"
"Frontend","Сайт"
"Frontend Model","Frontend модель"
"Frontend Properties","Frontend свойства"
"Gallery","Галерея"
"General Information","Общая информация"
"Get special price","Получить спец. цену"
"Global","Общий"
"Globally Editable","Редактируемые везде"
"Go to Home Page","Перейти к домашней странице"
"Grid","Сетка"
"Grouped Product","Сборный товар"
"Groups","Группы"
"Home","Домой"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a store then the default value will be used.","Если вы не укажете вариант значения для магазина, будет использовано значение по умолчанию"
"Image","Изображение"
"Image Size","Размер изображения"
"Image content is not valid base64 data.","Содержимое файла изображения не является корректными данными base64."
"Image file not found","Изображение не найдено"
"Image not exists","Изображение не существует"
"Image not specified.","Изображение не указано."
"Image type and information need to be specified for each store view.","Тип изображения и информация должны быть указаны для каждого вида магазина."
"In Stock","Есть в наличии"
"In stock","Есть в наличии"
"In stock.","Есть в наличии."
"Incl. Tax","Вкл. налоги"
"Input Type","Тип ввода"
"Input Validation for Store Owner","Проверка ввода для владельца магазина"
"Integer","Целое"
"Integer Number","Целое число"
"Invalid Tier Prices","Неверные дифференцированные цены"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Для атрибута %s указано неправильное значение варианта (%s), пропуск записи"
"Invalid attribute set specified, skipping the record","Указан неверный набор атрибутов, пропуск записи"
"Invalid block: %s","Неверный блок: %s"
"Invalid category","Неправильный раздел"
"Invalid category IDs","Неправильный идентификаторы раздела"
"Invalid image file type","Неправильный формат графического файла"
"Invalid image type.","Неправильный графический формат."
"Invalid option id specified for %s (%s), skipping the record","Указан неправильный id варианта для %s (%s), пропуск записи"
"Invalid product type specified, skipping the record","Указан неправильный тип товара, пропуск записи"
"Invalid store specified","Указан неправильный магазин"
"Invalid store specified, skipping the record","Указан неправильный магазин, пропуск записи"
"Inventory","Товары"
"Is Default","По умолчанию"
"Is Required","Обязятельно"
"Items %s to %s of %s total","С %s до %s из %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Товары, которые не нужно показывать в каталоге или результатах поиска должны иметь статус 'Отключено' в нужном магазине."
"Label","Название"
"Last Name","Фамилия"
"Last Notification","Последние уведомление"
"Learn More","Подробнее"
"Length of text is too long","Слишко большой объём текста"
"Letters","Письма"
"Letters(a-zA-Z) or Numbers(0-9)","Буквы (a-z,A-Z,а-я,А-Я) или цифры (0-9)"
"Line %d, Email: %s","Строка %d, E-mail: %s"
"Line %d, SKU: %s","Строка %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Ссылка (связанная, распродажи, кросс-продажи)"
"Link product not exists.","Ссылка на товар не существует."
"List","Список"
"List Mode","Режим списка"
"Manage Attribute Sets","Управление наборами атрибутов"
"Manage Attributes","Управление атрибутами"
"Manage Catalog Categories","Управление разделами каталога"
"Manage Categories","Управление разделами"
"Manage Label / Options","Управление ярлыками / опциями"
"Manage Options (values of your attribute)","Управление опциями (значения вашего атрибута)"
"Manage Product Attributes","Управление атрибутами товара"
"Manage Product Sets","Управление наборами товаров"
"Manage Products","Управление товарами"
"Manage Stock","Управление наличием"
"Manage Titles (Size, Color, etc.)","Управление заголовками (размер, цвет и т.д.)"
"Max Characters","Предел символов"
"Maximal Depth","Предел глубины"
"Maximum Qty Allowed in Shopping Cart","Предел кол-ва товаров в товарной корзине"
"Maximum number of characters","Предел кол-ва символов"
"Media Image","Медиа изображение"
"Minimum Qty Allowed in Shopping Cart","Минимальное кол-во товаров в товарной корзине"
"Minimum Qty for Item\'s Status to be Out of Stock","Минимальное кол-во товара на складе, при котором товар становится недоступным для продаж"
"Missing SKU, skipping the record","Отсутствует SKU (артикул, идентификатор товарной позиции), пропуск записи"
"More Views","Больше видов"
"Move","Переместить"
"Move category in tree","Переместить раздел в дереве"
"Multiple Select","Множественный выбор"
"Name","Имя"
"Name In %s","Имя в %s"
"Name<br/>(For internal use)","Имя<br/>(для внутреннего пользования)"
"New Category","Новый раздел"
"New Product","Новый товар"
"New Product Attribute","Новый атрибут товара"
"New Products","Новые товары"
"New Search","Новый поиск"
"New Set Name","Новое название набора"
"Next","Далее"
"No","Нет"
"No image","Нет изображения"
"No layout updates","Нет обновлений структуры"
"No options of this product are available.","Для этого товара опции недоступны."
"No product collections found","Не найдено коллекций товара"
"None","Нет"
"Not shared with other products","Не разделять с другими товарами"
"Notify Low Stock RSS","RSS заканчивающихся товаров"
"Notify for Quantity Below","Уведомление о кол-ве ниже"
"Nowhere","Нигде"
"Number of Uses","Количество использований"
"Number of results<br/>(For last time placed)","Количество результатов<br/>(в последний раз размещения)"
"OR","ИЛИ"
"Old Price:","Старая цена:"
"Option:","Вариант:"
"Options Control","Функции контроля"
"Options is required","Необходим вариант"
"Our customer service is available 24/7. Call us at (800) DEMO-NUMBER.","Служба поддержки работает 24/7. Позвоните нам: (800) DEMO-NUMBER."
"Out of Stock","Нет в наличии"
"Out of stock","Нет в наличии"
"Out of stock.","Нет в наличии"
"Page Title Separator","Разделитель заголовка страниц"
"Page:","Страница:"
"Parent Category","Родительский раздел"
"Pending","Ожидает решения"
"Pending Reviews RSS","RSS неподтвержденных отзывов"
"Percentage","Процент"
"Please add rows to option.","Please add rows to option."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Будьте нимательны, при щелчке на строке будет загружена информация из выбранного файла и все несохранённые данные будут потеряны."
"Please click on Close Window button if it won\'t be closed automatically","Нажмите на кнопку ""Закрыть окно"", если он не хочет закрыться по хорошему"
"Please enter a new group name","Пожалуйста, укажите имя новой группы"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Обновите ""Переадресацию в каталоге"" и ""Индексы многослайной навигации"" в меню Система -> <a href=""%s"">Управление кэшем</a>"
"Please select  items","Выберите записи"
"Please select one or more attributes.","Выберите один или несколько атрибутов."
"Please select product(s)","Выберите товар(ы)"
"Please select products for attributes update","Выберите товары для обновления атрибутов"
"Please select static block ...","Выберите статический блок ..."
"Please specify the product option(s)","Укажите комплектацию(опции) товара"
"Please specify the product required option(s)","Укажите обязательную комплектацию(опции) товара"
"Please specify the product(s) quantity","Укажите кол-во товара"
"Position","Позиция"
"Position In Layered Navigation","Позиция в многоуровневой навигация"
"Position of attribute in layered navigation block","Расположение атрибута в блоке многоуровневой навигации"
"Prev","Пред"
"Previous","Предыдущая"
"Price","Цена"
"Price Type","Тип цены"
"Price values for options should be specified in system base currency.","Значения цен для вариантов должны быть указаны в основной валюте системы"
"Price:","Цена:"
"Print This Page","Распечатать страницу"
"Problem saving the collection, aborting. Error: %s","Останов, проблема с сохранением коллекции. Ошибка: %s"
"Product","Товар"
"Product %s successfully added to compare list","Товар %s успешно добавлен в список сравнения"
"Product %s successfully removed from compare list","Товар %s удалён из списка сравнения"
"Product API","API товара"
"Product Alerts","Оповещения о товаре"
"Product Attribute","Атрибут товара"
"Product Attributes","Атрибуты товара"
"Product Categories","Разделы товара"
"Product Description","Описание товара"
"Product Image Placeholders","Метки иллюстрации товара"
"Product Image Watermarks","Водные знаки иллюстрации товара"
"Product Images","Иллюстрации товара"
"Product Images API","API иллюстраций товара"
"Product In Websites","Товар на сайте"
"Product Info Column","Информация о товаре"
"Product Information","Информация о товаре"
"Product Name","Название товара"
"Product Reviews","Отзывы о товаре"
"Product Tags","Тэги товара"
"Product Tier Price API","API динамических цен"
"Product Type","Тип товара"
"Product URL Suffix","Суффикс для ссылки на товар"
"Product attribute sets API","API набора аттрибутов товара"
"Product attribute was successfully deleted","Атрибут товара был удален"
"Product attribute was successfully saved","Атрибут товара был сохранен"
"Product attributes API","API аттрибутов товара"
"Product collection expected","Пропущена коллекция товара"
"Product deleted","Товар удален"
"Product duplicated","Товар сдублирован"
"Product has required options","Товар содержит опции"
"Product links API (related, cross sells, up sells)","API ссылок товара (связи, кросс-продажи, распродажи)"
"Product saving error.","Ошибка сохранения товара"
"Product saving error. ","Ошибка сохранения товара. "
"Product types API","API типов товара"
"Product was successfully created.","Товар был успешно создан"
"Product was successfully saved.","Товар был успешно сохранен"
"Product with this combination of attributes already associated to configurable.","Товар с этой комбинации атрибутов, уже связан с настраиваемым"
"Products","Товары"
"Products Information","Информация о товаре"
"Products Reviews","Отзывы о товарах"
"Products Sitemap","Карта товарного каталога"
"Products only","Только товары"
"Products per Page on Grid default value","Кол-во товаров на странице для таблшицы"
"Products per Page on List allowed values","Кол-во товаров на странице для списка (варианты)"
"Products per Page on List default value","Кол-во товаров на странице для списка"
"Products per page on Grid allowed values","Кол-во товаров на странице для таблшицы (варианты)"
"Properties","Свойства"
"Qty","Кол-во"
"Qty Uses Decimals","Кол-во, используя десятичные"
"Qty for Item\'s Status to become Out of Stock","Кол-во товара, при котором он отображается отсутствующим в наличии"
"Quick Create","Быстрое создание"
"Quick Overview","Краткая информация"
"Quick simple product creation","Быстрое создание простого товара"
"Records for ""","Записей для """
"Redirect","Перенаправление"
"Redirect URL","URL переадресации"
"Regular Price:","Регулярная цена:"
"Related Products","Связанные товары"
"Remove","Удалить"
"Remove Product","Удалить товар"
"Remove Product From Websites","Удалить товар с сайтов"
"Remove This Item","Убрать этот товар"
"Remove product assignment","Удалить назначение товара"
"Remove product image","Удалить изображение товара"
"Remove product link","Удалить ссылку товара"
"Required","Обязательный"
"Reset","Сброс"
"Results","Результаты"
"Retrieve attribute data","Получить данные аттрибута"
"Retrieve attribute list","Получить список аттрибута"
"Retrieve attribute options","Получить опции аттрибута"
"Retrieve categories tree","Получить дерево категорий"
"Retrieve category attributes","Получить аттрибуты категории"
"Retrieve category data","Получить данные категории"
"Retrieve hierarchical tree","Получить дерево иерархии"
"Retrieve linked products","Получить связанные товары"
"Retrieve list of assigned products","Получить список назначенных товаров"
"Retrieve one level of categories by website/store view/parent category","Получить 1 уровень категорий сайта/магазина"
"Retrieve product","Получить товар"
"Retrieve product attribute sets","Получить набор аттрибутов товара"
"Retrieve product image","Получить изображение товара"
"Retrieve product image list","Получить список изображений товара"
"Retrieve product image types","Получить типы изображений товара"
"Retrieve product link type attributes","Получить аттрибуты типа ссылки товара"
"Retrieve product link types","Получить типы ссылки товара"
"Retrieve product tier prices","Получить динамические цены товара"
"Retrieve product types","Получить типы товара"
"Retrieve products data","Получить данные о товаре"
"Retrieve products list by filters","Получить отфильтрованный список товаров"
"Review successfully deleted","Отзыв удален"
"Review was saved successfully","Отзыв был успешно сохранен"
"Review was successfully saved","Отзыв был успешно сохранен"
"Reviews","Отзывы"
"Roll Over for preview","Промотать до превью"
"Root","Root"
"SKU","Артикул (SKU)"
"Save","Сохранить"
"Save And Continue Edit","Сохранить и продолжить редактирование"
"Save Attribute","Сохранить атрибут"
"Save Attribute Set","Сохранить набор атрибутов"
"Save Category","Сохранить раздел"
"Save Search","Запомнить поиск"
"Saved ","Сохранено "
"Scope","Тип"
"Search","Поиск"
"Search Engine Optimizations","Оптимизация в поисковых системах"
"Search Information","Поиск информации"
"Search Query","Поисковый запрос"
"Search Term was successfully saved","Условие поиска было успешно сохранено"
"Search Term with such search query already exist.","Условие поиска для такого поискового запроса уже существует."
"Search was successfully deleted","Поиск был удален"
"Searchable","Для поиска"
"Select Configurable Attributes ","Выберите настраиваемые атрибуты"
"Select type of option","Выберите тип опций"
"Select type options required values rows.","Выберите тип необходимых опций."
"Selected Product Types","Выбранные типы товара"
"Selected configuration is not available.","Выбранная конфигурация недоступна."
"Send Count","Отправить количество"
"Set Ascending Direction","Установить восходящее направление"
"Set Descending Direction","Установить нисходящее направление"
"Set Name","Установить название"
"Set Root Category For Store","Установить корневой раздел для магазина"
"Set root category for this store in the <a href=""%s"">configuration</a>","Установите корневой каталог для этого магазина в <a href=""%s"">настройках</a>"
"Set special price","Set special price"
"Set/Get current store view","Установить/получить текущий вид магазина"
"Settings","Настройки"
"Shop by","Просмотр"
"Shopping Options","Варианты товаров"
"Show","Показать"
"Show Details","Показать подробно"
"Show Tags","Показать теги"
"Simple Product","Простой товар"
"Site Map","Карта сайта"
"Skip import row, is not valid value ""%s"" for field ""%s""","Пропуск строки при импорте, неверное значение ""%s"" поля ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Пропуск строки при импорте, не определено необходимое поле ""%s"" для нового покупателя"
"Skip import row, required field ""%s"" for new products not defined","Пропуск строки при импорте, не определено необходимое поле ""%s"" ля нового товара"
"Skip import row, required field ""%s"" not defined","Пропуск строки при импорте, не определено необходимое поле ""%s"""
"Skip import row, store ""%s"" field not exists","Пропуск строки при импорте, несуществующее поле магазина ""%s"""
"Sort Order","Порядок сортировки"
"Sort by","Тип сортировки"
"Source Model","Модель-источник"
"Special Price:","Специальная цена:"
"Starting at:","Начало:"
"Static","Статический"
"Static block and products","Статический блок и товары"
"Static block only","Только статический блок"
"Status","Статус"
"Stock Availability","Наличие на складе"
"Store","Магазин"
"Store View","Вид магазина"
"Stretch","Растянуть"
"Subscribe to RSS Feed","Подписаться на RSS канал."
"Super product attributes configuration","Конфигурация атрибутов супер товара"
"Synonym For","Синоним для"
"Synonym for","Синоним для"
"System","Система"
"System Properties","Свойства системы"
"Tag Name","Название тэга"
"Tax","Налог"
"Text","Текст"
"Text Area","Текстовый блок"
"Text Field","Текстовое поле"
"There are no %s available.","%s нет в наличи"
"There are no customers for this alert","Для этого оповещения больше нет пользователей"
"There are no products matching the selection.","Нет товаров соответствующих выбору"
"There was an error while adding products to websites","При добавлении товаров на сайты произошла ошибка"
"There was an error while cleared compare list","При очистке писка сравнения произошла ошибка"
"There was an error while removing products from websites","При удалении товаров с сайтов произошла ошибка"
"There was an error while updating product(s) attributes","Был ошибка при обновлении атрибутов товара"
"There was an error while updating product(s) status","При обновлении статус товара произошла ошибка"
"This attribute no longer exists","Этот атрибут уже не существует"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Эта группа содержит атрибуты, используемые в настраиваемых товарах. Переместите атрибуты в другую группу и попробуйте снова."
"This group contains system attributes. Please move system attributes to another group and try again.","Эта группа содержит системные атрибуты. Пожалуйста, переместите системные атрибуты в другую группу и попробуйте еще раз."
"This search no longer exists","Эта поиск больше не существует"
"Tier Pricing","Уровень цен"
"Tile","Заголовок"
"Time","Время"
"Title","Названия"
"Top/Left","Верх/лево"
"Top/Right","Верх/право"
"Total Qty Base Items","Всего кол-во"
"Total incl. Tax: %1$s","Всего, с налогами: %1$s"
"Total of %d record(s) were successfully deleted","Всего %d записей были успешно удалено"
"Total of %d record(s) were successfully updated","Всего %d записей были успешно обновлено"
"Type","Тип"
"Unable to complete request. Please try again later.","Невозможно выполнить запрос. Пожалуйста, попробуйте еще раз позже."
"Unable to find a search term to delete","Невозможно найти запроса для удаления"
"Unable to find an attribute to delete","Не удается найти атрибут для удаления"
"Unable to get product id.","Не удалось получить номер товара."
"Unassigned Attributes","Неприсвоенные атрибуты"
"Unique Value","Уникальное значения"
"Unique Value (not shared with other products)","Уникальное значение (не разделяется с другими товарами)"
"Unknown attribute: %s","Неизвестный атрибут: %s"
"Up-sells","Продвигаемые товары"
"Update","Обновить"
"Update Attributes","Обновить атрибуты"
"Update Tier Price","Обновить динамические цены"
"Update assigned product","Обновить связаный товар"
"Update attributes","Обновить атрибуты"
"Update category","Обновить категорию"
"Update product","Обновить товар"
"Update product image","Обновить изображение товара"
"Update product link","Обновить ссылку товара"
"Update product tier prices","Обновить динамические цены"
"Upload new product image ","Загрузить новое изображение товара"
"Url","Ссылки"
"Url Rewrite Management","Управление переадресацией ссылок (Rewrite)"
"Url rewrie save problem.","Ошибка при сохренении переадресации."
"Use Config Settings","Использовать настройки конфигурации"
"Use Default Value","Использование значение по умолчанию"
"Use In Layered Navigation","Использовать в многоуровневой навигации"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Использовать в многоуровневой навигации <br/> (может быть использована только с типом поля каталога 'выпадающий список')"
"Use In Search Results Layered Navigation","Использовать в результатах поиска (в многоуровневой навигации)"
"Use To Create Configurable Product","Используется для создания настраиваемых товаров"
"Use categories path for product URLs","Использовать путь раздела для URL-ов товара"
"Use in advanced search","Использовать в расширенном поиске"
"Use in quick search","Использовать в быстром поиске"
"Values Required","Значение обязательно"
"Varchar","Строковая величина"
"View as","Вид"
"Virtual Product","Цифровой товар"
"Visibility","Видимость"
"Visible","Видимый"
"Visible on Catalog Pages on Front-end","Видимый на странице каталога (frontend)"
"Watermark","Водяной знак"
"Watermark Default Size","Размер по умолчанию для водяных знаков"
"Watermark Position","Позиция водяного знака"
"Website","Сайт"
"Websites","Сайты"
"Yes","Да"
"Yes/No","Да/нет"
"You cannot delete this attribute","Вы не можете удалить этот атрибут"
"You cannot edit this attribute","Вы не можете изменить этот атрибут"
"You cannot remove system attribute from this set.","Вы не можете удалить системный атрибут этого набора."
"You cannot update this attribute","Вы не можете обновлять этот атрибут"
"You have no items to compare.","У вас нет товаров для сравнения"
"You may also be interested in the following product(s)","Вы также можете быть заинтересованы в следующих товарах"
"Zoom In","Увеличить"
"Zoom Out","Уменьшить"
"[GLOBAL]","[Общий]"
"and","и"
"and above","и выше"
"cache refresh needed","необходимо обновление кэша"
"categories","категории"
"comma separated","разделение запятыми"
"each","каждый"
"ex. http://domain.com","напр. http://domain.com"
"must be in the allowed values list","должен быть в писке допустимых значений"
"per page","на странице"
"products","товаров"
"save","сохранить"
"select all","выбрать все"
"unselect all","снять выбор со всех"
